team,confederation,is_host,fifa_rank,fifa_pts,elo_2025,squad_value_eur,squad_size,wc_titles,wc_finals,wc_appearances,avg_player_age,star_player_rating,goalkeeper_rating,squad_depth_score,coach_experience_tournaments,h2h_vs_top10_winrate,knockout_stage_reach_rate,historical_score,composite_strength,recent_form_pts_avg,recent_gf_avg,recent_ga_avg,mc_group_stage_pct,mc_r16_pct,mc_quarterfinal_pct,mc_semifinal_pct,mc_final_pct,mc_win_pct,wc26_squad_size,wc26_avg_caps,wc26_total_caps,wc26_n_defender,wc26_n_forward,wc26_n_goalkeeper,wc26_n_midfielder,pelo_top5_avg,pelo_top11_avg,pelo_max,tm_avg_caps,tm_total_caps,tm_avg_intl_goals,tm_avg_market_value
France,UEFA,0,1,1877.3227,2062.0,,25.0,2,3,16,27.2,9.5,9.1,9.0,9,0.6,0.75,81.0,83.04,2.2,2.4,1.1,97.5,84.6,67.7,48.6,30.4,16.8,26.0,29.346153846153847,763.0,9.0,9.0,3.0,5.0,2612.0,2551.027272727273,2652.0,,,,
Spain,UEFA,0,2,1876.3952,2172.0,,27.0,1,2,16,27.0,9.2,8.7,8.6,9,0.57,0.68,59.16,79.993,2.2,3.3,1.3,96.1,78.5,57.1,34.6,16.9,7.0,26.0,27.23076923076923,708.0,8.0,8.0,3.0,7.0,2679.08,2595.490909090909,2779.2,,,,
Argentina,CONMEBOL,0,3,1874.8148,2113.0,761200012.0,29.0,3,5,18,28.1,9.8,8.5,8.8,8,0.62,0.78,111.36,83.911,2.0,1.9,0.6,97.9,86.2,70.9,52.7,35.0,20.5,26.0,48.73076923076923,1267.0,8.0,8.0,3.0,7.0,2463.4,2415.072727272727,2525.8,,,,
England,UEFA,0,4,1825.9655,2042.0,,35.0,1,2,17,27.0,9.1,8.4,8.8,8,0.54,0.65,60.3,78.185,3.0,3.0,0.0,94.8,74.3,50.0,27.6,11.6,4.0,26.0,30.73076923076923,799.0,9.0,8.0,3.0,6.0,2617.76,2574.3454545454547,2645.8,,,,
Portugal,UEFA,0,5,1763.8344,1976.0,864500000.0,26.0,0,1,8,28.5,9.6,8.3,8.2,7,0.52,0.62,25.44,73.628,2.0,2.9,1.3,90.8,61.8,33.3,13.0,3.6,0.7,26.0,43.03846153846154,1119.0,9.0,8.0,3.0,6.0,2639.7,2542.518181818182,2783.1,30.5,61.0,7.0,40000000.0
Brazil,CONMEBOL,0,6,1762.662,1978.0,778500000.0,24.0,5,7,22,26.5,9.2,8.8,8.5,9,0.58,0.72,158.64,84.688,1.5,1.5,1.1,98.0,87.8,73.6,56.7,39.4,24.8,26.0,33.76923076923077,878.0,9.0,9.0,3.0,5.0,2578.0,2506.0363636363636,2657.6,,,,
Morocco,CAF,0,7,1756.9413,1840.0,456000000.0,29.0,0,1,6,27.3,8.0,7.8,7.4,7,0.37,0.58,21.96,68.542,2.6,1.9,0.3,83.0,45.3,17.8,4.4,0.7,0.1,26.0,27.46153846153846,714.0,9.0,7.0,3.0,7.0,2433.88,2303.9636363636364,2565.6,11.71111111111111,527.0,1.0888888888888888,2537500.0
Netherlands,UEFA,0,8,1751.0978,1959.0,766000000.0,25.0,0,3,11,26.8,8.8,8.5,8.4,8,0.5,0.63,42.06,74.644,2.2,3.2,0.9,92.0,64.6,36.9,15.8,4.8,1.1,26.0,31.846153846153847,828.0,8.0,7.0,3.0,8.0,2502.7,2447.109090909091,2605.1,,,,
Belgium,UEFA,0,9,1739.5456,1849.0,534200012.0,25.0,0,1,14,29.0,8.6,8.2,8.1,7,0.48,0.6,34.2,71.417,2.1,3.3,1.0,87.9,54.8,25.9,8.6,1.8,0.3,26.0,40.26923076923077,1047.0,9.0,8.0,3.0,6.0,2477.04,2391.3909090909087,2584.5,,,,
Germany,UEFA,0,10,1731.3034,1910.0,773500000.0,25.0,4,8,20,27.8,8.7,8.9,8.7,10,0.55,0.7,146.4,83.809,1.9,2.2,1.1,97.9,86.5,71.0,52.5,34.7,20.1,26.0,31.23076923076923,812.0,7.0,3.0,3.0,13.0,2491.38,2440.3636363636365,2597.0,,,,
Croatia,UEFA,0,11,1712.2357,1932.0,283299988.0,26.0,0,2,6,29.5,8.4,8.1,7.8,8,0.47,0.66,28.92,70.505,2.5,2.8,0.6,86.7,51.8,23.2,7.3,1.4,0.2,26.0,43.11538461538461,1121.0,7.0,6.0,3.0,10.0,2448.94,2300.581818181818,2660.9,14.0,28.0,1.0,1500000.0
Colombia,CONMEBOL,0,13,1695.9903,1998.0,300500000.0,26.0,0,0,7,27.2,8.1,7.8,7.6,6,0.4,0.57,17.34,67.575,1.2,1.9,1.3,81.5,42.1,15.6,3.6,0.5,0.0,26.0,38.38461538461539,998.0,8.0,5.0,3.0,10.0,2356.9800000000005,2267.609090909091,2741.8,4.0,4.0,1.0,3000000.0
Senegal,CAF,0,14,1686.4128,1807.0,474000000.0,28.0,0,1,4,27.0,8.2,7.9,7.5,6,0.38,0.55,18.6,67.795,2.5,2.4,0.7,81.7,42.9,16.1,3.7,0.5,0.0,26.0,37.0,962.0,8.0,8.0,3.0,7.0,2357.94,2282.5999999999995,2484.4,6.222222222222222,112.0,0.4444444444444444,4375000.0
Mexico,CONCACAF,1,15,1684.1316,1834.0,79800003.0,12.0,0,0,17,27.8,7.9,7.7,7.4,7,0.35,0.5,31.5,76.657,2.5,1.8,0.6,93.9,70.3,44.7,22.1,8.2,2.3,26.0,45.96153846153846,1195.0,6.0,7.0,3.0,10.0,2326.2400000000002,2274.0090909090904,2351.4,152.0,152.0,0.0,1000000.0
United States,CONCACAF,1,16,1675.7027,1747.0,356700012.0,27.0,0,0,11,26.5,7.8,7.6,7.5,6,0.33,0.45,21.9,74.571,1.9,1.9,1.1,91.9,64.3,36.4,15.7,4.6,1.0,26.0,35.34615384615385,919.0,10.0,7.0,3.0,6.0,2285.4199999999996,2233.6545454545453,2336.5,9.833333333333334,59.0,2.1666666666666665,3233333.3333333335
Uruguay,CONMEBOL,0,17,1673.0686,1890.0,362450012.0,28.0,2,3,14,27.6,8.3,8.0,7.9,8,0.45,0.64,76.68,73.987,1.3,0.9,0.7,91.3,62.6,34.2,13.9,3.9,0.8,26.0,35.5,923.0,8.0,3.0,3.0,12.0,2425.32,2320.5363636363636,2537.5,1.2,12.0,0.2,4500000.0
Japan,AFC,0,18,1661.5762,1878.0,264200012.0,27.0,0,0,8,26.8,7.7,7.5,7.2,6,0.3,0.5,18.0,64.841,2.3,2.5,0.6,75.8,33.5,9.8,1.7,0.1,0.0,26.0,32.07692307692308,834.0,9.0,6.0,3.0,8.0,2351.34,2255.990909090909,2443.6,6.1,61.0,1.6,4662500.0
Switzerland,UEFA,0,19,1650.7515,1897.0,322100006.0,26.0,0,0,12,28.0,7.8,7.7,7.6,7,0.42,0.55,24.6,67.885,1.6,1.9,1.0,81.9,43.2,16.2,3.8,0.5,0.0,26.0,41.88461538461539,1089.0,8.0,6.0,3.0,9.0,2409.44,2299.5363636363636,2529.6,8.0,16.0,2.5,2600000.0
Iran,AFC,0,21,1616.0432,1755.0,23080000.0,31.0,0,0,6,28.0,7.0,6.9,6.7,4,0.21,0.34,13.08,60.204,1.9,1.7,0.8,62.8,19.9,3.9,0.4,0.0,0.0,26.0,44.19230769230769,1149.0,8.0,5.0,3.0,10.0,2051.7200000000003,1943.9272727272728,2185.2,18.692307692307693,243.0,6.076923076923077,1833333.3333333333
Austria,UEFA,0,23,1597.4041,1818.0,263399994.0,28.0,0,0,7,27.8,7.5,7.5,7.2,5,0.36,0.48,16.26,63.821,2.0,2.3,0.7,72.7,30.0,8.1,1.3,0.1,0.0,26.0,39.76923076923077,1034.0,9.0,3.0,3.0,11.0,2392.2400000000002,2308.927272727273,2584.4,0.5,1.0,0.0,
Ecuador,CONMEBOL,0,24,1596.4816,1933.0,366730011.0,32.0,0,0,4,26.5,7.2,7.1,6.8,4,0.28,0.42,11.04,60.439,1.8,0.8,0.1,62.9,20.6,4.1,0.4,0.0,0.0,26.0,28.846153846153847,750.0,7.0,6.0,3.0,10.0,2350.96,2167.2000000000003,2437.2,20.5,41.0,0.0,
South Korea,AFC,0,25,1591.6309,1784.0,136750000.0,26.0,0,1,11,27.5,7.6,7.4,7.0,6,0.28,0.54,28.98,64.85,2.2,2.0,0.7,75.6,33.6,10.1,1.8,0.2,0.0,26.0,35.76923076923077,930.0,10.0,3.0,3.0,10.0,2203.9800000000005,2091.4090909090914,2478.5,10.25,123.0,0.6666666666666666,1375000.0
Nigeria,CAF,0,26,1586.6886,1669.0,209080002.0,23.0,0,0,7,26.5,7.6,7.3,7.3,5,0.36,0.52,16.74,63.087,2.4,2.0,0.5,71.0,27.7,7.1,1.0,0.1,0.0,,,,,,,,2336.44,2261.4181818181814,2387.9,11.692307692307692,456.0,0.8717948717948718,2350000.0
Australia,AFC,0,27,1578.6553,1773.0,51230000.0,26.0,0,0,6,27.2,7.4,7.3,6.9,5,0.25,0.42,14.04,61.705,2.6,2.2,0.6,66.8,23.7,5.4,0.7,0.0,0.0,26.0,27.384615384615383,712.0,10.0,7.0,3.0,6.0,2127.12,2054.963636363636,2270.7,13.928571428571429,195.0,0.7857142857142857,2200000.0
Algeria,CAF,0,28,1571.0333,1757.0,227750000.0,26.0,1,0,4,27.5,7.0,6.9,6.6,4,0.23,0.36,25.32,60.287,2.3,1.8,0.6,63.2,19.9,3.9,0.4,0.0,0.0,26.0,27.653846153846153,719.0,9.0,7.0,3.0,7.0,2272.7799999999997,2165.5909090909086,2376.4,5.851851851851852,158.0,0.37037037037037035,750000.0
Egypt,CAF,0,29,1565.5615,1623.0,108000000.0,26.0,0,0,3,28.0,7.4,7.2,7.0,5,0.29,0.4,9.3,61.373,1.6,1.1,1.0,66.0,23.3,5.0,0.6,0.0,0.0,26.0,30.53846153846154,794.0,10.0,8.0,3.0,5.0,2129.32,1974.5,2504.8,18.65,746.0,1.4,2800000.0
Canada,CONCACAF,1,30,1560.6166,1802.0,129380005.0,26.0,0,0,2,26.8,7.1,7.0,6.9,4,0.3,0.38,7.56,67.66,2.1,2.0,0.7,81.5,42.6,15.9,3.6,0.5,0.1,26.0,32.34615384615385,841.0,9.0,5.0,3.0,9.0,2249.44,2155.109090909091,2354.1,2.6666666666666665,8.0,0.0,2216666.6666666665
Norway,UEFA,0,31,1555.5966,1922.0,504000000.0,24.0,0,0,3,26.0,8.5,7.6,7.8,5,0.4,0.45,9.9,64.671,3.0,4.6,0.6,74.5,32.5,9.5,1.6,0.2,0.0,26.0,29.23076923076923,760.0,9.0,3.0,3.0,11.0,2545.82,2380.7272727272725,2740.1,3.3333333333333335,10.0,0.0,1300000.0
Panama,CONCACAF,0,33,1540.5987,1742.0,32400002.0,23.0,0,0,2,27.0,6.5,6.4,6.1,3,0.15,0.25,6.0,55.32,2.2,2.0,0.8,46.4,9.4,1.1,0.0,0.0,0.0,26.0,57.15384615384615,1486.0,10.0,4.0,3.0,9.0,2117.7,2007.5090909090907,2239.9,22.322580645161292,692.0,1.2903225806451613,
Ivory Coast,CAF,0,34,1532.9753,1627.0,,,0,0,3,27.5,7.2,7.0,6.8,4,0.26,0.38,9.06,59.665,2.1,2.1,0.6,61.0,18.5,3.3,0.4,0.0,0.0,26.0,26.0,676.0,8.0,9.0,3.0,6.0,2337.1,2258.3636363636365,2395.5,,,,
Paraguay,CONMEBOL,0,40,1503.5033,1832.0,134699997.0,25.0,0,0,9,27.3,6.9,6.8,6.5,4,0.2,0.38,18.06,58.523,1.9,1.4,0.9,57.6,15.9,2.6,0.2,0.0,0.0,26.0,25.692307692307693,668.0,8.0,6.0,3.0,9.0,2203.98,2121.7909090909093,2312.1,29.0,29.0,0.0,
Scotland,UEFA,0,43,1499.9201,1790.0,198149994.0,26.0,0,0,8,27.2,7.3,7.2,7.0,5,0.32,0.4,16.8,61.719,2.2,1.7,1.1,66.8,24.0,5.3,0.6,0.0,0.0,26.0,35.96153846153846,935.0,10.0,5.0,3.0,8.0,2398.3599999999997,2269.181818181818,2526.4,14.777777777777779,133.0,2.0,1881250.0
UEFA Playoff A,UEFA,0,45,1540.0,,,,0,0,4,27.5,7.0,7.0,6.8,4,0.28,0.4,10.8,59.155,,,,59.2,17.3,3.1,0.2,0.0,0.0,,,,,,,,,,,,,,
Tunisia,CAF,0,47,1479.0955,1615.0,52299999.0,29.0,0,0,6,27.8,6.9,6.8,6.5,3,0.22,0.35,13.2,57.184,1.8,2.2,0.9,52.9,12.9,1.8,0.1,0.0,0.0,26.0,21.153846153846153,550.0,9.0,7.0,3.0,7.0,2036.5399999999997,1957.7727272727273,2158.3,22.0,176.0,0.75,1450000.0
Uzbekistan,AFC,0,50,1461.2081,1735.0,63750000.0,26.0,0,0,1,25.8,6.7,6.5,6.2,2,0.15,0.22,4.14,52.306,1.9,1.4,0.6,36.9,5.3,0.3,0.0,0.0,0.0,26.0,33.53846153846154,872.0,10.0,3.0,3.0,10.0,2024.14,1915.4454545454546,2298.8,27.175,1087.0,2.4,904545.4545454546
UEFA Playoff B,UEFA,0,50,1520.0,,,,0,0,3,27.5,6.9,6.9,6.7,4,0.26,0.38,9.06,58.214,,,,56.2,14.7,2.2,0.2,0.0,0.0,,,,,,,,,,,,,,
UEFA Playoff C,UEFA,0,55,1500.0,,,,0,0,3,27.5,6.8,6.8,6.6,3,0.24,0.36,8.82,56.673,,,,51.1,11.8,1.6,0.1,0.0,0.0,,,,,,,,,,,,,,
Qatar,AFC,0,55,1452.3743,1425.0,18299999.0,25.0,0,0,1,26.5,6.5,6.4,6.1,2,0.14,0.2,3.9,51.877,1.2,1.1,1.4,35.3,5.0,0.4,0.0,0.0,0.0,26.0,53.73076923076923,1397.0,9.0,9.0,3.0,5.0,2027.2,1966.5090909090911,2091.9,42.529411764705884,2169.0,5.529411764705882,1478125.0
South Africa,CAF,0,60,1428.3793,1551.0,41150002.0,23.0,0,0,2,27.0,6.7,6.6,6.3,3,0.18,0.3,6.6,54.527,1.7,1.5,1.0,43.9,8.1,0.8,0.0,0.0,0.0,26.0,17.923076923076923,466.0,11.0,8.0,3.0,4.0,1977.44,1929.5181818181823,2044.9,10.603174603174603,668.0,1.1904761904761905,1166666.6666666667
UEFA Playoff D,UEFA,0,60,1480.0,,,,0,0,3,27.5,6.7,6.7,6.5,3,0.22,0.34,8.58,55.833,,,,48.1,10.5,1.2,0.1,0.0,0.0,,,,,,,,,,,,,,
Saudi Arabia,AFC,0,61,1419.7298,1592.0,27629999.0,23.0,0,0,6,27.2,6.8,6.7,6.4,3,0.19,0.32,12.84,55.71,1.4,1.1,1.1,48.1,10.3,1.2,0.1,0.0,0.0,26.0,33.0,858.0,10.0,4.0,3.0,9.0,2247.7,2204.5181818181813,2297.1,,,,
Jordan,AFC,0,63,1390.0997,1689.0,15980000.0,26.0,0,0,1,26.2,6.5,6.3,6.0,2,0.13,0.18,3.66,51.226,2.2,1.9,0.8,33.7,4.4,0.3,0.0,0.0,0.0,26.0,40.30769230769231,1048.0,9.0,7.0,3.0,7.0,1834.8,1697.6454545454546,2173.0,21.897435897435898,854.0,2.1794871794871793,250000.0
Cape Verde,CAF,0,75,1440.0,1561.0,,,0,0,1,26.8,6.8,6.6,6.2,3,0.16,0.28,4.86,53.808,1.9,1.6,1.0,41.6,7.2,0.6,0.0,0.0,0.0,,,,,,,,2074.82,1933.9909090909093,2216.3,,,,
Intercont PO 1,TBD,0,76,1432.0,,,,0,0,2,26.5,6.3,6.2,6.0,2,0.14,0.2,5.4,51.248,,,,33.4,4.3,0.2,0.0,0.0,0.0,,,,,,,,,,,,,,
Haiti,CONCACAF,0,81,1296.6145,1542.0,,,0,0,1,26.3,6.1,6.0,5.7,2,0.11,0.14,3.18,48.716,1.2,1.2,1.5,25.8,2.5,0.1,0.0,0.0,0.0,26.0,22.53846153846154,586.0,8.0,9.0,3.0,6.0,1933.7600000000002,1855.9272727272728,2011.5,,,,
New Zealand,OFC,0,85,1276.6643,1585.0,22200001.0,23.0,0,0,3,27.5,6.2,6.1,5.8,2,0.12,0.2,6.9,50.754,1.8,3.3,1.0,31.8,3.8,0.3,0.0,0.0,0.0,26.0,30.53846153846154,794.0,9.0,4.0,3.0,10.0,2005.3200000000002,1902.5818181818183,2165.5,23.0,253.0,2.0,1720000.0
Intercont PO 2,TBD,0,88,1410.0,,,,0,0,1,26.0,6.1,6.0,5.8,2,0.12,0.18,3.66,49.595,,,,28.5,3.0,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,
Curacaio,CONCACAF,0,110,1345.0,,,,0,0,1,26.0,6.0,5.9,5.6,2,0.1,0.12,2.94,47.96,,,,24.3,2.0,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,
